path,bytes,kb,extension,sha256,width,height,format,mode,error
staticfiles/admin/img/icon-unknown.a18cb4398978.svg,655,0.64,svg,78f7179728bb7286ff21c24ea59ebaba2ca6c8580c3c797ca7d8849ff784ddf7,,,,,
staticfiles/admin/img/icon-unknown.svg,655,0.64,svg,78f7179728bb7286ff21c24ea59ebaba2ca6c8580c3c797ca7d8849ff784ddf7,,,,,
static/images/women.webp,628,0.61,webp,d6867af0ef24219f5d21219732d623183dff9772059d815e5cb9333717a260f8,400,300,WEBP,RGB,
staticfiles/admin/img/icon-viewlink.41eb31f7826e.svg,581,0.57,svg,34bedf732ee640e43dd6c473c685512dfcd6cd7051539f5c14034eac63b058cd,,,,,
staticfiles/admin/img/icon-viewlink.svg,581,0.57,svg,34bedf732ee640e43dd6c473c685512dfcd6cd7051539f5c14034eac63b058cd,,,,,
staticfiles/admin/img/icon-no.439e821418cd.svg,560,0.55,svg,42a05a4ebae9dca8582712d807913ed1c9ffb3803f63c3c89987568df41233e7,,,,,
staticfiles/admin/img/icon-no.svg,560,0.55,svg,42a05a4ebae9dca8582712d807913ed1c9ffb3803f63c3c89987568df41233e7,,,,,
staticfiles/admin/img/inline-delete.358e965fe3e7.svg,537,0.52,svg,197e97a6f8c449279ef92045548247b991639572ac41582b8b66e562c518c3e0,,,,,
staticfiles/admin/img/inline-delete.svg,537,0.52,svg,197e97a6f8c449279ef92045548247b991639572ac41582b8b66e562c518c3e0,,,,,
static/images/kids.webp,524,0.51,webp,ba80eb04c70eb4edb3c7d08f3879401b3e5e14b570003256e24acbc74ff3ba53,400,300,WEBP,RGB,
staticfiles/admin/img/icon-alert.034cc7d8a67f.svg,504,0.49,svg,697b5df4f03aead71c96cf9325fc84090ae6756ae3f11396282d2d24a6bbb700,,,,,
staticfiles/admin/img/icon-alert.svg,504,0.49,svg,697b5df4f03aead71c96cf9325fc84090ae6756ae3f11396282d2d24a6bbb700,,,,,
staticfiles/admin/img/search.7cf54ff789c6.svg,458,0.45,svg,1e0bcb3cd4fb15f818be66edd40975ca15e09b3607ccc83c06e0cb9d4f6aa4c5,,,,,
staticfiles/admin/img/search.svg,458,0.45,svg,1e0bcb3cd4fb15f818be66edd40975ca15e09b3607ccc83c06e0cb9d4f6aa4c5,,,,,
staticfiles/admin/img/icon-yes.d2f9f035226a.svg,436,0.43,svg,fc7e09a8bcb027e371a0f2ea4aa93d68625cc44759c2d485b9ad53b88f6421c3,,,,,
staticfiles/admin/img/icon-yes.svg,436,0.43,svg,fc7e09a8bcb027e371a0f2ea4aa93d68625cc44759c2d485b9ad53b88f6421c3,,,,,
staticfiles/admin/img/icon-deletelink.564ef9dc3854.svg,392,0.38,svg,d3a5ce1e8e72e7d51f341b4ef233011d0aa65edf149a886548c96852e67a7740,,,,,
staticfiles/admin/img/icon-deletelink.svg,392,0.38,svg,d3a5ce1e8e72e7d51f341b4ef233011d0aa65edf149a886548c96852e67a7740,,,,,
staticfiles/admin/img/icon-changelink.7eddb320e61f.svg,380,0.37,svg,a6309c94b0c6f2fbd099f664155cc5330d422deafddf4cda7c8f1782f0cdf3a7,,,,,
staticfiles/admin/img/icon-changelink.svg,380,0.37,svg,a6309c94b0c6f2fbd099f664155cc5330d422deafddf4cda7c8f1782f0cdf3a7,,,,,
staticfiles/admin/img/icon-addlink.073aeb1feda7.svg,331,0.32,svg,ff96d142f13157048fe03b11cc86fec83c2eb6e7edd919072ea7227dd956ca91,,,,,
staticfiles/admin/img/icon-addlink.svg,331,0.32,svg,ff96d142f13157048fe03b11cc86fec83c2eb6e7edd919072ea7227dd956ca91,,,,,
staticfiles/admin/img/tooltag-add.e59d620a9742.svg,331,0.32,svg,7d3642a2e18c242e90ab6c65ab0fe1f5f168755b4b98332ba6665a7065496194,,,,,
staticfiles/admin/img/tooltag-add.svg,331,0.32,svg,7d3642a2e18c242e90ab6c65ab0fe1f5f168755b4b98332ba6665a7065496194,,,,,
staticfiles/admin/img/tooltag-arrowright.bbfb788a849e.svg,280,0.27,svg,18802acbfe0ea2bf5c0cc342d9f49a10687ede0a9272fa9111a50b9e2c77c077,,,,,
staticfiles/admin/img/tooltag-arrowright.svg,280,0.27,svg,18802acbfe0ea2bf5c0cc342d9f49a10687ede0a9272fa9111a50b9e2c77c077,,,,,
